Recording_ID,Latitude,Longitude,bout_duration_ms,num_syllables,num_syllable_per_bout_duration_1_ms,largest_syllable_duration_ms,smallest_syllable_duration_ms,avg_syllable_duration_ms,num_unique_syllables,num_syllables_per_num_unique,avg_sylls_upper_freq_Hz,avg_sylls_lower_freq_Hz,max_sylls_freq_Hz,min_sylls_freq_Hz,overall_sylls_freq_range_Hz,largest_sylls_freq_range_Hz,smallest_sylls_freq_range_Hz,avg_sylls_freq_range_Hz,Species,Source
26227,39.8833333,-82.8,1149.52381,10,0.008699254,303.8095238,23.17460317,73.42857143,4,2.5,4508.859649,2875.526316,4942.982456,2063.157895,2922.807018,2063.157895,429.8245614,1676.315789,Pipilo erythrophthalmus,ML
26774,36.11038533,-82.11091634,1127.936508,7,0.006206023,272.3809524,62.53968254,110.8843537,3,2.333333333,4500.877193,2585.087719,5587.719298,1934.210526,3696.491228,2621.929825,1633.333333,1958.77193,Pipilo erythrophthalmus,ML
26786,36.11374028,-81.81156132,1718.730159,6,0.003490949,329.2063492,74.92063492,179.1534392,4,1.5,4455.847953,2851.169591,5888.596491,1891.22807,4040.350877,3051.754386,472.8070175,1647.660819,Pipilo erythrophthalmus,ML
26797,26.4679221,-82.11402499,1134.603175,8,0.007050923,264.1269841,47.93650794,89.48412698,2,4,6065.899123,2514.473684,6576.315789,1977.192982,4642.105263,4341.22807,1074.561404,3594.407895,Pipilo erythrophthalmus,ML
27300,40.8333333,-73.3333333,1204.444444,15,0.012453875,205.3968254,18.73015873,40.02116402,4,3.75,4633.508772,3395.614035,5544.736842,2492.982456,3094.736842,2020.175439,386.8421053,1280.877193,Pipilo erythrophthalmus,ML
27316,40.8333333,-73.3333333,1219.365079,12,0.009841187,224.1269841,22.85714286,52.93650794,4,3,4556.140351,3399.195906,5415.789474,2578.947368,2879.824561,2106.140351,472.8070175,1199.926901,Pipilo erythrophthalmus,ML
27329,40.8333333,-73.3333333,1226.349206,11,0.008969713,236.1904762,36.50793651,69.35064935,4,2.75,4954.704944,3258.851675,5673.684211,2492.982456,3223.684211,3223.684211,472.8070175,1738.835726,Pipilo erythrophthalmus,ML
27333,40.8333333,-73.3333333,840.3174603,13,0.015470344,275.8730159,13.33333333,39.53601954,3,4.333333333,4906.612686,3865.11471,5716.666667,2836.842105,2922.807018,1977.192982,472.8070175,1084.480432,Pipilo erythrophthalmus,ML
27336,40.8333333,-73.3333333,914.2857143,7,0.00765625,190.7936508,91.42857143,107.755102,2,3.5,4703.508772,3021.052632,5200.877193,2707.894737,2535.964912,2235.087719,1332.45614,1725.438596,Pipilo erythrophthalmus,ML
27337,40.8333333,-73.3333333,909.2063492,12,0.013198324,121.2698413,22.85714286,41.82539683,2,6,5021.783626,3556.798246,5630.701754,2621.929825,3051.754386,1719.298246,1203.508772,1507.967836,Pipilo erythrophthalmus,ML
27337,40.8333333,-73.3333333,650.4761905,9,0.013836018,81.9047619,19.04761905,46.98412698,4,2.25,5353.703704,3538.888889,7736.842105,2321.052632,5458.77193,3954.385965,343.8596491,1857.797271,Pipilo erythrophthalmus,ML
27369,40.8333333,-73.3333333,1320.31746,15,0.011360904,244.1269841,11.42857143,43.3015873,4,3.75,4805.438596,3616.25731,7135.087719,1977.192982,5200.877193,3524.561404,472.8070175,1232.163743,Pipilo erythrophthalmus,ML
27372,40.8333333,-73.3333333,849.2063492,10,0.011775701,129.8412698,10.15873016,56.34920635,5,2,4384.210526,3606.22807,4942.982456,2578.947368,2407.017544,1547.368421,257.8947368,820.9649123,Pipilo erythrophthalmus,ML
27373,40.8333333,-73.3333333,1368.571429,13,0.009498956,250.1587302,26.03174603,50.23199023,3,4.333333333,4764.439946,3636.977058,5458.77193,2278.070175,3223.684211,2879.824561,429.8245614,1170.445344,Pipilo erythrophthalmus,ML
27374,40.8333333,-73.3333333,1292.380952,15,0.011606485,264.4444444,15.23809524,54.30687831,4,3.75,5427.251462,3312.51462,8037.719298,2235.087719,5845.614035,2879.824561,472.8070175,2157.719298,Pipilo erythrophthalmus,ML
27378,40.8333333,-73.3333333,1183.809524,18,0.015205149,240.6349206,7.301587302,33.40388007,5,3.6,5282.066277,3897.076023,6146.491228,2235.087719,3954.385965,3008.77193,515.7894737,1427.97271,Pipilo erythrophthalmus,ML
27388,40.7709151,-73.1553978,884.4444444,10,0.011306533,135.8730159,12.38095238,37.80952381,5,2,4590.526316,3520.263158,5114.912281,2321.052632,2836.842105,2492.982456,300.877193,1113.245614,Pipilo erythrophthalmus,ML
27394,40.7709151,-73.1553978,1134.285714,9,0.007934509,251.1111111,31.11111111,82.04585538,4,2.25,5611.598441,3333.528265,6318.421053,2106.140351,4255.263158,3180.701754,1246.491228,2321.052632,Pipilo erythrophthalmus,ML
27400,40.8333333,-73.3333333,1246.349206,10,0.008023434,248.5714286,61.26984127,83.52380952,3,3.333333333,5011.754386,2974.385965,5372.807018,2364.035088,3051.754386,2535.964912,472.8070175,2080.350877,Pipilo erythrophthalmus,ML
27401,40.8333333,-73.3333333,1047.301587,9,0.008593513,253.3333333,21.26984127,79.22398589,4,2.25,5062.378168,3013.547758,6361.403509,2321.052632,4083.333333,3309.649123,816.6666667,2091.812865,Pipilo erythrophthalmus,ML
27403,40.8333333,-73.3333333,1138.730159,10,0.008781712,173.968254,33.65079365,56.6031746,3,3.333333333,4504.561404,3176.403509,4771.052632,1676.315789,3137.719298,1977.192982,1160.526316,1371.140351,Pipilo erythrophthalmus,ML
